date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:59	69/69	---M-Z	200	added ('OK')	text/plain	date:Thu,%2013%20Jan%202022%2010:58:59%20GMT	https://intamarque.com/robots.txt		(from )
16:29:00	66459/66459	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Jan%202022%2010:58:59%20GMT	https://intamarque.com/	C:/My%20Web%20Sites/metropharma/intamarque.com/index.html	(from )
16:29:00	2178/2178	---M-Z	200	added ('OK')	text/css	etag:%225f1f42a2-882%22	https://cdnjs.cloudflare.com/ajax/libs/tiny-slider/2.9.3/tiny-slider.css	C:/My%20Web%20Sites/metropharma/cdnjs.cloudflare.com/ajax/libs/tiny-slider/2.9.3/tiny-slider.css	(from https://intamarque.com/)
16:29:01	11026/11026	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2013%20Jan%202022%2010:59:01%20GMT	https://kit.fontawesome.com/44c5a82341.js	C:/My%20Web%20Sites/metropharma/kit.fontawesome.com/44c5a82341.js	(from https://intamarque.com/)
16:29:01	80574/80574	---M-Z	200	added ('OK')	text/css	etag:%22ec1504-13abe-5c76f69fc6840-gzip%22	https://intamarque.com/wp-includes/css/dist/block-library/style.min.css?ver=5.8.3	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-includes/css/dist/block-library/style.minc8d8.css	(from https://intamarque.com/)
16:29:01	2640/2640	---M-Z	200	added ('OK')	text/css	etag:%22ec14a2-a50-5c9207e98538f-gzip%22	https://intamarque.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.4.2	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/plugins/contact-form-7/includes/css/styles7661.css	(from https://intamarque.com/)
16:29:02	18356/18356	---M-Z	200	added ('OK')	text/css	etag:%22ec0ce6-47b4-5c8be056e2800-gzip%22	https://intamarque.com/wp-content/themes/intamarque2021/style.css?ver=5.8.3	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/themes/intamarque2021/stylec8d8.css	(from https://intamarque.com/)
16:29:02	7939/7939	---M-Z	200	added ('OK')	application/rss+xml	etag:%22126179d6ba1eb8234e871ced0242d21a-gzip%22	https://intamarque.com/feed/	C:/My%20Web%20Sites/metropharma/intamarque.com/feed/index.html	(from https://intamarque.com/)
16:29:03	260178/260178	---M-Z	200	added ('OK')	text/css	etag:%22ec04ea-3f852-5c933a3aa6b63-gzip%22	https://intamarque.com/wp-content/themes/intamarque2021/dist/css/main.css?ver=1.1	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/themes/intamarque2021/dist/css/main4963.css	(from https://intamarque.com/)
16:29:03	89521/89521	---M-Z	200	added ('OK')	application/javascript	etag:%22ec2040-15db1-5bd3006388300-gzip%22	https://intamarque.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://intamarque.com/)
16:29:03	11224/11224	---M-Z	200	added ('OK')	application/javascript	etag:%22ec2038-2bd8-5b45debe27b80-gzip%22	https://intamarque.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://intamarque.com/)
